PFAS,SMILES,System,initial photoinitiator concentration,initial PFAS concentration,pH,temperature,contact time,UV,HA,TOC,Ccl,Cphosphate,"CNO3
(mM)",CHCO3,CSO4,CCO3,k
C3 PFdiCA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
C4 PFdiCA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
C6 PFdiCA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
C7 PFdiCA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
C8 PFdiCA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,20,7,20,2.5,254,,,,,,,,,0.18
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,32,9.2,25,0.5,185,,,,,,,,,7.08
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,37.2,10,25,4,254,,,,,,,,,0.48
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,37.2,10,25,4,185,,,,,,,,,0.87
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,37.2,6,25,4,185,,,,,,,,,0.22
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,37.2,7,25,4,185,,,,,,,,,0.27
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,37.2,8,25,4,185,,,,,,,,,0.34
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,37.2,9,25,4,185,,,,,,,,,0.57
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,1,37.2,10,25,4,185,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,2,37.2,10,25,4,185,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,5,37.2,10,25,4,185,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,37.2,10,25,4,185,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,160,9.5,20,8,253.7,,,,,,,,,1.7
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,48,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,0.78
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/indole,,20,6,25,8,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,4,24,,25,48,230,,,,,,,,,
PFBS,C(F)(F)(S(O)(=O)=O)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,33.4,7,,2.5,254,,,,,,,,,0.024
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,UV/KI,10,25.1,7,,2.5,254,,,,,,,,,0.072
TFMS,OS(=O)(=O)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PFBS,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.0013
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PFBS,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,0.053
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
¦ØH-TFA,O=C(O)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
¦ØH-PFPrA,O=C(O)C(F)(F)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
¦ØH-PFBA,O=C(O)C(F)(F)C(F)(F)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
¦ØH-PFPeA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
¦ØH PFHpA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
